[g6k_env] chdir -> /home/pyjast1123/workspace/builds/g6k
[enum_sieve_server] dims 70..110 (41), files=369, beta=40, steps_mult=1, prefetch=2
[221/369] ENUM_SIEVE dim94 seed229 b1/GH=2.0082 t=2.026s (0.76 files/s)
[222/369] ENUM_SIEVE dim94 seed4719 b1/GH=2.1123 t=2.049s (0.75 files/s)
[223/369] ENUM_SIEVE dim94 seed650 b1/GH=2.1009 t=2.088s (0.75 files/s)
[224/369] ENUM_SIEVE dim94 seed678 b1/GH=1.9458 t=2.141s (0.75 files/s)
[225/369] ENUM_SIEVE dim94 seed800 b1/GH=2.0266 t=2.051s (0.75 files/s)
[226/369] ENUM_SIEVE dim95 seed0 b1/GH=2.1077 t=2.3s (0.75 files/s)
[227/369] ENUM_SIEVE dim95 seed1 b1/GH=2.1726 t=2.226s (0.74 files/s)
[228/369] ENUM_SIEVE dim95 seed121 b1/GH=2.2995 t=2.232s (0.74 files/s)
[229/369] ENUM_SIEVE dim95 seed122 b1/GH=2.1254 t=2.241s (0.74 files/s)
[230/369] ENUM_SIEVE dim95 seed135 b1/GH=2.0384 t=2.119s (0.74 files/s)
[231/369] ENUM_SIEVE dim95 seed2 b1/GH=2.1606 t=2.103s (0.74 files/s)
[232/369] ENUM_SIEVE dim95 seed248 b1/GH=2.3219 t=2.131s (0.73 files/s)
[233/369] ENUM_SIEVE dim95 seed4056 b1/GH=2.1039 t=2.105s (0.73 files/s)
[234/369] ENUM_SIEVE dim95 seed521 b1/GH=2.0992 t=2.124s (0.73 files/s)
[235/369] ENUM_SIEVE dim96 seed145 b1/GH=2.3601 t=2.25s (0.73 files/s)
[236/369] ENUM_SIEVE dim96 seed1677 b1/GH=2.2009 t=2.171s (0.73 files/s)
[237/369] ENUM_SIEVE dim96 seed18 b1/GH=2.1820 t=2.207s (0.72 files/s)
[238/369] ENUM_SIEVE dim96 seed301 b1/GH=2.1510 t=2.197s (0.72 files/s)
[239/369] ENUM_SIEVE dim96 seed3376 b1/GH=2.0450 t=2.192s (0.72 files/s)
