dims = 70..110 (41 integer dims), seeds/dim = ALL
methods=['LLL', 'BKZ', 'ENUM']  tasks=1107  workers=19
[371/1107] dim83 BKZ seed5121 b1/GH=1.6591 t=4.165s
[372/1107] dim83 LLL seed64 b1/GH=2.5445 t=2.478s
[373/1107] dim83 ENUM seed64 b1/GH=1.7743 t=2.753s
[374/1107] dim84 LLL seed0 b1/GH=2.1220 t=2.588s
[375/1107] dim84 ENUM seed0 b1/GH=1.8501 t=2.922s
[376/1107] dim84 BKZ seed1 b1/GH=1.7656 t=2.786s
[377/1107] dim83 ENUM seed6036 b1/GH=1.7363 t=4.287s
[378/1107] dim84 LLL seed1175 b1/GH=2.2182 t=2.642s
[379/1107] dim83 BKZ seed64 b1/GH=1.8463 t=4.029s
[380/1107] dim83 LLL seed899 b1/GH=2.4159 t=3.832s
[381/1107] dim83 BKZ seed899 b1/GH=1.8656 t=4.095s
