dimension,num_records,seeds,contestant_algorithm_pairs,top_record
69,5,0 63 555 2675,"Malin Haque, Dipta Das & Nafiul Hassan :: BKZ | Walter White :: Other | Dan Ding :: BKZ,Other","pos=666, seed=2675, norm=1896, author=Malin Haque, Dipta Das & Nafiul Hassan, algorithm=BKZ"
68,6,0 16 539 1861 7542 3545421,"Jim Johnson :: Sieving | Hayato Waki and Masaya Yasuda :: BKZ,Other | Walter White :: Other | Usatyuk Vasiliy :: BKZ | Moon Sung Lee :: Sieving","pos=671, seed=7542, norm=1896, author=Jim Johnson, algorithm=Sieving"
67,6,0 72 100 8165 63098,"Qianxue Cao :: Sieving | Jim Johnson :: Sieving | Walter White :: Other | Malin Haque :: BKZ | Dan Ding :: BKZ,Other","pos=677, seed=63098, norm=1838, author=Qianxue Cao, algorithm=Sieving"
66,11,2 3 4 15 93 241 5822 6301 95480,"Qianxue Cao :: Sieving | Jim Johnson :: Sieving | Dan Ding, Guizhen Zhu, Xiaoyun Wang :: BKZ,Other | Walter White :: Other | Dan Ding :: BKZ,Other | Moon Sung Lee :: Sieving | Michael Schneider :: BKZ","pos=683, seed=95480, norm=1846, author=Qianxue Cao, algorithm=Sieving"
65,6,83 995 1264 1427 1471 6242,"Jim Johnson :: Sieving | Hayato Waki and Masaya Yasuda :: BKZ,Other | Walter White :: Other | P.G. Demidov Yaroslavl State University team :: Other","pos=694, seed=6242, norm=1841, author=Jim Johnson, algorithm=Sieving"
64,7,0 5 40 2793 4020 4209 8154,"Jim Johnson :: Sieving | Malin Haque, Dipta Das & Nafiul Hassan :: BKZ | Walter White :: Other | Jan Reichelt :: Other | Moon Sung Lee :: Sieving","pos=700, seed=8154, norm=1797, author=Jim Johnson, algorithm=Sieving"
63,6,15 77 100 284 1119 1483,Jim Johnson :: Sieving | Walter White :: Other | Malin Haque :: BKZ | Jan Reichelt :: Other,"pos=707, seed=1483, norm=1738, author=Jim Johnson, algorithm=Sieving"
62,7,0 26 137 776 2289 8366,"Jim Johnson :: Sieving | Hayato Waki and Masaya Yasuda :: BKZ,Other | Dan Ding, Guizhen Zhu and Xiaoyun Wang :: BKZ,Other | Walter White :: Other | Usatyuk Vasiliy :: BKZ | Moon Sung Lee :: Sieving | Antonio Campello, Joï¿½o Strapasson and Cristiano Torezzan :: BKZ,Other","pos=713, seed=8366, norm=1738, author=Jim Johnson, algorithm=Sieving"
61,4,0 95 557 8436,"Jim Johnson :: Sieving | Hayato Waki and Masaya Yasuda :: BKZ,Other | Walter White :: Other | Malin Haque :: BKZ","pos=720, seed=8436, norm=1670, author=Jim Johnson, algorithm=Sieving"
60,6,0 15 45 526 2677,"Jim Johnson :: Sieving | Dan Ding, Guizhen Zhu and Xiaoyun Wang :: BKZ,Other | Felix Fontein :: BKZ | Felix Fontein :: BKZ,Other | Moon Sung Lee :: Sieving | Michael Schneider :: BKZ","pos=724, seed=2677, norm=1743, author=Jim Johnson, algorithm=Sieving"
59,9,0 6 853 1650 2335 2360 3172 7082 8157,"Jim Johnson :: Sieving | Hayato Waki and Masaya Yasuda :: BKZ,Other | Malin Haque, Dipta Das & Nafiul Hassan :: BKZ | Malin Haque and Iftekharul Islam :: ENUM,BKZ | Walter White :: Other | Malin Haque :: BKZ","pos=730, seed=8157, norm=1676, author=Jim Johnson, algorithm=Sieving"
58,9,0 89 898 1167 1436 1772 2245 9999 74335,"Qianxue Cao :: Sieving | Jim Johnson :: Sieving | Dan Ding, Guizhen Zhu and Xiaoyun Wang :: BKZ,Other | Walter White ::  | Usatyuk VAsiliy :: BKZ | Moon Sung Lee :: Sieving","pos=739, seed=74335, norm=1724, author=Qianxue Cao, algorithm=Sieving"
57,9,0 42 433 1602 2730 2917 3207 3257 9633,"Jim Johnson :: Sieving | Hayato Waki and Masaya Yasuda :: BKZ,Other | Malin Haque and Iftekharul Islam :: ENUM,BKZ | Walter White :: Other | Malin Haque :: BKZ","pos=748, seed=9633, norm=1639, author=Jim Johnson, algorithm=Sieving"
56,7,0 1 2 20 539 2908 9939,"Jim Johnson :: Sieving | Dan Ding, Guizhen Zhu and Xiaoyun Wang :: BKZ,Other | Walter White :: Other | Jan Reichelt :: Other | Michael Schneider, ï¿½zgï¿½r Dagdelen, Jan Reichelt :: BKZ,Other | Moon Sung Lee :: Sieving","pos=757, seed=9939, norm=1488, author=Jim Johnson, algorithm=Sieving"
55,9,0 10 13 14 49 291 1324 8442,"Jim Johnson :: Sieving | Hayato Waki and Masaya Yasuda :: BKZ,Other | Walter White :: Other | Malin Haque :: ENUM,BKZ | Malin Haque :: BKZ,Other","pos=764, seed=8442, norm=1633, author=Jim Johnson, algorithm=Sieving"
54,6,0 2 10 25 988 2439,"Jim Johnson :: Sieving | Dan Ding, Guizhen Zhu and Xiaoyun Wang (Tsinghua) :: BKZ,Other | Walter White :: Other | Jan Reichelt :: Other | Michael Schneider, ï¿½zgï¿½r Dagdelen, Jan Reichelt :: BKZ,Other | Antonio Campello, Joï¿½o Strapasson and Cristiano Torezzan :: BKZ,Other","pos=773, seed=2439, norm=1564, author=Jim Johnson, algorithm=Sieving"
53,5,0 14 194 370 1917,"Jim Johnson :: Sieving | Hayato Waki and Masaya Yasuda :: BKZ,Other | Malin Haque and Iftekharul Islam :: ENUM,BKZ | Walter White :: Other | Malin Haque :: BKZ","pos=779, seed=1917, norm=1477, author=Jim Johnson, algorithm=Sieving"
52,5,0 1 45 796 8949,"Nariaki Tateiwa, Akihiro Yoshida, Satoshi Nakamura, Shizuo Kaji, Masaya Yasuda, Katsuki Fujisawa :: ENUM,BKZ | Dan Ding, Guizhen Zhu and Xiaoyun Wang (Tsinghua) :: BKZ,Other | Moon Sung Lee :: Sieving | Michael Schneider, ï¿½zgï¿½r Dagdelen, Jan Reichelt :: BKZ,Other | Antonio Campello, Joï¿½o Strapasson and Cristiano Torezzan :: BKZ,Other","pos=784, seed=8949, norm=1557, author=Nariaki Tateiwa, Akihiro Yoshida, Satoshi Nakamura, Shizuo Kaji, Masaya Yasuda, Katsuki Fujisawa, algorithm=ENUM,BKZ"
51,5,0 99 101 190 1435,"Hayato Waki and Masaya Yasuda :: BKZ,Other | Walter White :: Other | Malin Haque :: BKZ | Dan Ding :: BKZ,Other","pos=789, seed=1435, norm=1588, author=Hayato Waki and Masaya Yasuda, algorithm=BKZ,Other"
50,6,0 1 2 6 38 3203,"Felix Fontein :: ENUM,BKZ | Moon Sung Lee :: Sieving | Michael Schneider, ï¿½zgï¿½r Dagdelen, Jan Reichelt :: BKZ,Other | Michael Schneider :: ENUM","pos=794, seed=3203, norm=1472, author=Felix Fontein, algorithm=ENUM,BKZ"
