position,dimension,norm,seed,contestant,algorithm,subm_date,approx_factor,title_note
762,56,1894,1,"Michael Schneider, ï¿½zgï¿½r Dagdelen, Jan Reichelt","BKZ,Other",2010-11-23,0.97638,"Running time: 84 seconds, calls: 7"
763,56,1974,0,Moon Sung Lee,Sieving,2010-10-22,1.02255,Intel Q9550 2.83GHz
764,55,1633,8442,Jim Johnson,Sieving,2021-09-27,0.85757,Modified G6K. Total CPU time: 0.0447s.
765,55,1643,1324,Jim Johnson,Sieving,2021-09-26,0.85450,Modified G6K Workout. Total CPU time: 0.1913s.
766,55,1682,291,Hayato Waki and Masaya Yasuda,"BKZ,Other",2016-06-12,0.87944,
767,55,1818,49,Walter White,Other,2013-09-24,0.95446,
768,55,1870,14,Malin Haque,"ENUM,BKZ",2013-04-29,0.97415,
769,55,1914,13,Malin Haque,"BKZ,Other",2013-04-29,0.99562,
770,55,1918,13,Malin Haque,"ENUM,BKZ",2013-04-28,0.99780,
771,55,1965,10,Malin Haque,"ENUM,BKZ",2013-04-27,1.02136,
772,55,1973,0,Malin Haque,"BKZ,Other",2013-04-24,1.03197,
773,54,1564,2439,Jim Johnson,Sieving,2021-09-25,0.82335,Modified G6K Workout. Total CPU time: 0.0230s.
774,54,1696,988,"Dan Ding, Guizhen Zhu and Xiaoyun Wang (Tsinghua)","BKZ,Other",2014-02-8,0.88941,"A Genetic Algorithm with a Preprocessing of BKZ, using 505.028s on a IBM Blade"
775,54,1768,10,Walter White,Other,2013-09-24,0.92909,
776,54,1877,25,Jan Reichelt,Other,2011-05-23,0.98755,LLL-Prereduction - Ant Colony Optimization using Probabilistic Beam Search
777,54,1904,2,"Michael Schneider, ï¿½zgï¿½r Dagdelen, Jan Reichelt","BKZ,Other",2010-11-23,1.00551,"Runningtime: 35 seconds, Calls: 6"
778,54,1921,0,"Antonio Campello, Joï¿½o Strapasson and Cristiano Torezzan","BKZ,Other",2010-10-15,1.00899,"There are still vectors of norm 1956, 1957 and 1974 below the estimation."
779,53,1477,1917,Jim Johnson,Sieving,2021-09-26,0.78337,Modified G6K Workout. Total CPU time: 0.0209s.
780,53,1646,370,Hayato Waki and Masaya Yasuda,"BKZ,Other",2016-11-20,0.87915,
781,53,1699,194,Malin Haque and Iftekharul Islam,"ENUM,BKZ",2015-10-8,0.90118,
782,53,1731,14,Walter White,Other,2013-09-24,0.92038,
783,53,1896,0,Malin Haque,BKZ,2013-04-24,1.00386,
784,52,1557,8949,"Nariaki Tateiwa, Akihiro Yoshida, Satoshi Nakamura, Shizuo Kaji, Masaya Yasuda, Katsuki Fujisawa","ENUM,BKZ",2019-09-4,0.83006,parallel Enum
785,52,1616,796,"Dan Ding, Guizhen Zhu and Xiaoyun Wang (Tsinghua)","BKZ,Other",2014-02-8,0.86719,"A Genetic Algorithm with a Preprocessing of BKZ, using 92.217s on a IBM Blade"
