dim,seed,method,pipeline,norm,gh,norm_over_gh,log_det,file,status,error
86,446,bkz20_30_40,20+30+40,5157.009501639491,2365.3974146344394,2.1801873417691553,595.7986176829027,svp_dim86_seed446.txt,ok,
86,456,lll,LLL,5305.895400401332,2362.971966277311,2.24543307162479,595.7103891372014,svp_dim86_seed456.txt,ok,
86,456,bkz20,20,5042.855738567182,2362.971966277311,2.1341157705361318,595.7103891372014,svp_dim86_seed456.txt,ok,
86,456,bkz20_30,20+30,4940.422755190083,2362.971966277311,2.0907665540244884,595.7103891372014,svp_dim86_seed456.txt,ok,
86,456,bkz20_30_40,20+30+40,4940.422755190083,2362.971966277311,2.0907665540244884,595.7103891372014,svp_dim86_seed456.txt,ok,
86,1755,lll,LLL,4571.361285219095,2362.0357391819175,1.9353480598910708,595.6763085446282,svp_dim86_seed1755.txt,ok,
86,1755,bkz20,20,4571.361285219095,2362.0357391819175,1.9353480598910708,595.6763085446282,svp_dim86_seed1755.txt,ok,
86,1755,bkz20_30,20+30,4571.361285219095,2362.0357391819175,1.9353480598910708,595.6763085446282,svp_dim86_seed1755.txt,ok,
86,1755,bkz20_30_40,20+30+40,4571.361285219095,2362.0357391819175,1.9353480598910708,595.6763085446282,svp_dim86_seed1755.txt,ok,
86,2825,lll,LLL,5439.340952725798,2371.599727130565,2.293532458492454,596.0238232988302,svp_dim86_seed2825.txt,ok,
86,2825,bkz20,20,5439.340952725798,2371.599727130565,2.293532458492454,596.0238232988302,svp_dim86_seed2825.txt,ok,
86,2825,bkz20_30,20+30,5439.340952725798,2371.599727130565,2.293532458492454,596.0238232988302,svp_dim86_seed2825.txt,ok,
86,2825,bkz20_30_40,20+30+40,5439.340952725798,2371.599727130565,2.293532458492454,596.0238232988302,svp_dim86_seed2825.txt,ok,
86,2966,lll,LLL,5058.904723356626,2369.4798237183295,2.135027558672304,595.9469160444182,svp_dim86_seed2966.txt,ok,
86,2966,bkz20,20,5058.904723356626,2369.4798237183295,2.135027558672304,595.9469160444182,svp_dim86_seed2966.txt,ok,
86,2966,bkz20_30,20+30,5058.904723356626,2369.4798237183295,2.135027558672304,595.9469160444182,svp_dim86_seed2966.txt,ok,
86,2966,bkz20_30_40,20+30+40,5058.904723356626,2369.4798237183295,2.135027558672304,595.9469160444182,svp_dim86_seed2966.txt,ok,
86,5233,lll,LLL,4561.541954208029,2366.1244255990478,1.9278537953696804,595.8250459423758,svp_dim86_seed5233.txt,ok,
86,5233,bkz20,20,4561.541954208029,2366.1244255990478,1.9278537953696804,595.8250459423758,svp_dim86_seed5233.txt,ok,
86,5233,bkz20_30,20+30,4561.541954208029,2366.1244255990478,1.9278537953696804,595.8250459423758,svp_dim86_seed5233.txt,ok,
86,5233,bkz20_30_40,20+30+40,4561.541954208029,2366.1244255990478,1.9278537953696804,595.8250459423758,svp_dim86_seed5233.txt,ok,
86,8971,lll,LLL,4936.925764076259,2367.026815075425,2.085707577384984,595.8578382585147,svp_dim86_seed8971.txt,ok,
86,8971,bkz20,20,4936.925764076259,2367.026815075425,2.085707577384984,595.8578382585147,svp_dim86_seed8971.txt,ok,
86,8971,bkz20_30,20+30,4936.925764076259,2367.026815075425,2.085707577384984,595.8578382585147,svp_dim86_seed8971.txt,ok,
86,8971,bkz20_30_40,20+30+40,4847.152256737972,2367.026815075425,2.0477808810051514,595.8578382585147,svp_dim86_seed8971.txt,ok,
87,0,lll,LLL,4712.340395175204,2372.8299096939113,1.9859579382085097,602.5233707086395,svp_dim87_seed0.txt,ok,
87,0,bkz20,20,4712.340395175204,2372.8299096939113,1.9859579382085097,602.5233707086395,svp_dim87_seed0.txt,ok,
87,0,bkz20_30,20+30,4712.340395175204,2372.8299096939113,1.9859579382085097,602.5233707086395,svp_dim87_seed0.txt,ok,
87,0,bkz20_30_40,20+30+40,4712.340395175204,2372.8299096939113,1.9859579382085097,602.5233707086395,svp_dim87_seed0.txt,ok,
